STATECODE,LabelSchoolNameShort,LabelSchoolNameLong,DSTCODE,DISTRICTNAME,SchNameDistName,GRADECONFIG,ADDRESS,CITY,ZIP,CHARTER,CORECITY5,CORECITY6,MCSCHOOL,MCELEM,GRCONFIG,ELEM,MIDDLE,HIGH
04115,Calcutt MS,Calcutt Middle School,04,Central Falls,"Calcutt MS, Central Falls",Middle School,112 Washington St,Central Falls,02863,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,06 - 08,,MIDDLE,
12101,Paine,Capt. Isaac Paine El. School,12,Foster,"Paine, Foster",Elementary School,160 Foster Center Road,Foster,02825,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
28140,Lauro,Carl G. Lauro El. School,28,Providence,"Lauro, Providence",Elementary School,99 Kenyon Street,Providence,02903,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,PK - 06,ELEM,,
35131,Cedar Hill,Cedar Hill School,35,Warwick,"Cedar Hill, Warwick",Elementary School,35 Red Chimney Drive,Warwick,02886,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 06,ELEM,,
04108,Central Falls Senior HS,Central Falls Sr High,04,Central Falls,"Central Falls Senior HS, Central Falls",High School,24 Summer St,Central Falls,02863,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
28139,Central HS,Central High School,28,Providence,"Central HS, Providence",High School,70 Fricker Street,Providence,02903,Non-Charter,Core City (5),Core City (6),Making Connections School,Non MC Elem School,09 - 12,,,HIGH
24109,Centredale,Centredale School,24,North Providence,"Centredale, North Providence",Elementary School,41 Angell Avenue,North Providence,02911,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 05,ELEM,,
98101,Chariho HS,Chariho High School,98,Chariho,"Chariho HS, Chariho",High School,453 Switch Road,Richmond,02894,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
98103,Chariho Regional MS,Chariho Regional Middle Schoo,98,Chariho,"Chariho Regional MS, Chariho",Middle School,455B Switch Road,Richmond,02894,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,05 - 08,,MIDDLE,
28104,Fortes Annex,Charles Fortes Annex,28,Providence,"Fortes Annex, Providence",Elementary School,65 Greenwich Street,Providence,02907,Non-Charter,Core City (5),Core City (6),Making Connections School,Making Connections Elem School,PK - 01,ELEM,,
28122,Fortes,Charles N. Fortes Academy,28,Providence,"Fortes, Providence",Elementary School,234 Daboll Street,Providence,02907,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,02 - 06,ELEM,,
98104,Charlestown Elem,Charlestown Elementary School,98,Chariho,"Charlestown Elem, Chariho",Elementary School,363 Carolina Back Road,Charlestown,02813,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 04,ELEM,,
28162,Woods,Charlotte Woods El. School,28,Providence,"Woods, Providence",Elementary School,674 Prairie Avenue,Providence,02905,Non-Charter,Core City (5),Core City (6),Making Connections School,Making Connections Elem School,K - 05,ELEM,,
07112,Barrows,Chester W. Barrows School,07,Cranston,"Barrows, Cranston",Elementary School,9 Beachmont Avenue,Cranston,02905,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 05,ELEM,,
39117,Citizens Memorial,Citizens Memorial School,39,Woonsocket,"Citizens Memorial, Woonsocket",Elementary School,250 Winthrop Street,Woonsocket,02895,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,PK - 05,ELEM,,
28164,Classical HS,Classical High School,28,Providence,"Classical HS, Providence",High School,770 Westminster Street,Providence,02903,Non-Charter,Core City (5),Core City (6),Making Connections School,Non MC Elem School,09 - 12,,,HIGH
30103,Clayville,Clayville School,30,Scituate,"Clayville, Scituate",Elementary School,3 George Washington Highwa,Scituate,02815,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
21112,Coggeshall,Coggeshall School,21,Newport,"Coggeshall, Newport",Elementary School,134 Van Zandt Avenue,Newport,02840,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,K - 04,ELEM,,
96105,Colt Andrews,Colt Andrews School,96,Bristol Warren,"Colt Andrews, Bristol Warren",Elementary School,570-574 Hope Street,Bristol,02809,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
08109,Community,Community School,08,Cumberland,"Community, Cumberland",Elementary School,15 Arnold Mills Road,Cumberland,02864,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
06119,Coventry HS,Coventry High School,06,Coventry,"Coventry HS, Coventry",High School,40 Reservoir Road,Coventry,02816,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
21102,Cranston - Calvert,Cranston - Calvert,21,Newport,"Cranston - Calvert, Newport",Elementary School,15 Cranston Avenue,Newport,02840,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,K - 04,ELEM,,
07113,Cranston HS East,Cranston High School East,07,Cranston,"Cranston HS East, Cranston",High School,899 Park Avenue,Cranston,02910,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
07126,Cranston HS West,Cranston High School West,07,Cranston,"Cranston HS West, Cranston",High School,80 Metropolitan Avenue,Cranston,02920,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
08114,Cumberland HS,Cumberland High School,08,Cumberland,"Cumberland HS, Cumberland",High School,2600 Mendon Road,Cumberland,02864,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
