school1,DCFY_atrisk_DENOM,SUMDCFY_atrisk_Flag,ALL_RISKS,meanDCFY_atrisk_FLAG,total_enroll_mean,SUM_touch_DCYF_2008,number_of_students,pct_atrisk,PCT_teen_mom,M_mt_2healthrisks_intract,M_ever_retained_prior0809,M_Ever_Poverty_prior0809,M_Chronic_abs_0708,M_SchMoves_GT_2_ever,TouchDCYF_per1000,at_risk_school,violence_susp_per1000,Disaffection_susp_per1000,ANGER_susp_per1000,SUBSTANCEUSE_susp_per1000,PCT_Reading_Proficiency,PCT_MATH_Proficiency,ATRISK_06_P,ATRISK_07_P,ATRISK_08_P,ATRISK_09_P,ATRISK_10_P,ATRISK_11_P,ATRISK_12_P,NONRISK_06_P,NONRISK_07_P,NONRISK_08_P,NONRISK_09_P,NONRISK_10_P,NONRISK_11_P,NONRISK_12_P,M_touch_Ever_AV_sch_2008,
35125,49,0,0.41,0.00,1.02,0.00,49.00,0.00, ,0.00,0.00,24.49,14.29,2.04,0.00,0.00,40.82,20.41, , ,81.63,53.06,0.00, , , , , , ,100.00, , , , , , ,0.00,
35127,53,0,0.49,0.00,1.02,0.00,53.00,0.00, ,0.00,0.00,39.22,9.80,1.89,0.00,0.00,37.74,18.87, , ,69.81,52.83,0.00, , , , , , ,100.00, , , , , , ,0.00,
35128,57,1,0.63,0.02,1.11,0.00,57.00,1.75, ,1.75,5.26,42.11,14.04,0.00,0.00,0.00,87.72,52.63, , ,83.64,58.18,1.75, , , , , , ,98.25, , , , , , ,0.00,
35129,58,0,0.62,0.00,1.10,0.00,58.00,0.00, ,1.75,1.72,50.00,9.09,1.72,0.00,0.00,86.21,51.72,17.24, ,64.29,46.43,0.00, , , , , , ,100.00, , , , , , ,0.00,
35130,1207,234,1.76,0.19,1.09,11.00,1207.00,19.39,0.34,0.50,10.02,43.60,22.92,1.33,9.11,0.00,51.37,30.65,8.29,0.83,63.90,22.44, , , ,25.54,22.40,15.87,12.36, , , ,74.46,77.60,84.13,87.64,100.00,
35131,90,1,0.21,0.01,1.02,0.00,90.00,1.11, ,0.00,1.11,10.11,10.11,0.00,0.00,0.00, , , , ,94.32,72.73,1.11, , , , , , ,98.89, , , , , , ,0.00,
35132,44,0,0.36,0.00,1.00,0.00,44.00,0.00, ,0.00,0.00,25.00,4.55,6.82,0.00,0.00, , , , ,86.05,75.00,0.00, , , , , , ,100.00, , , , , , ,0.00,
35133,44,1,0.43,0.02,1.00,0.00,44.00,2.27, ,0.00,0.00,31.82,9.09,2.27,0.00,0.00,22.73, , , ,83.72,72.09,2.27, , , , , , ,97.73, , , , , , ,0.00,
35134,1273,248,1.75,0.19,1.06,12.00,1273.00,19.48,0.16,0.63,13.98,37.61,22.69,1.26,9.43,0.00,21.21,16.50,0.79,2.36,75.47,25.00, , ,100.00,22.93,20.38,16.55,16.99, , ,0.00,77.07,79.62,83.45,83.01,100.00,
35135,59,0,0.36,0.00,1.05,0.00,59.00,0.00, ,0.00,0.00,29.31,5.36,1.69,0.00,0.00, , , , ,78.95,66.67,0.00, , , , , , ,100.00, , , , , , ,0.00,
35136,55,1,0.60,0.02,1.11,0.00,55.00,1.82, ,1.85,1.82,46.30,9.26,1.82,0.00,0.00, , , , ,73.58,47.17,1.82, , , , , , ,98.18, , , , , , ,0.00,
35138,1147,121,1.48,0.11,1.06,2.00,1147.00,10.55,0.52,0.00,6.28,25.51,16.14,0.96,1.74,0.00,33.13,47.95,8.72, ,65.07,20.10, , , ,14.98,8.49,10.00,8.24, , , ,85.02,91.51,90.00,91.76,100.00,
